"method","age_grp","parity","percent"
"Other.trad",">35","3",0.0103752591517145
"Implant",">35","3",0.0996407261957636
"Other.mod",">35","3",0.00161136914434206
"Pill","18-20","3",0
"IUD","18-20","3",0.0561205296130474
"Injectable","18-20","3",0.688645868826118
"Condom","18-20","3",0.0624270228872976
"F.sterilization","18-20","3",0
"Abstinence","18-20","3",0.00741411364580096
"Withdrawal","18-20","3",0.0406156927557203
"Other.trad","18-20","3",0
"Implant","18-20","3",0.144776772272016
"Other.mod","18-20","3",0
"Pill","20-25","3",0.0570079083164984
"IUD","20-25","3",0.0155185714557756
"Injectable","20-25","3",0.595474123517043
"Condom","20-25","3",0.0130227953627226
"F.sterilization","20-25","3",0.00660679560075285
"Abstinence","20-25","3",0.0583349637357127
"Withdrawal","20-25","3",0
"Other.trad","20-25","3",0
"Implant","20-25","3",0.254034842011494
"Other.mod","20-25","3",0
"Pill","25-30","3",0.119992965768695
"IUD","25-30","3",0.0407408522995411
"Injectable","25-30","3",0.545718275726254
"Condom","25-30","3",0.0274613347570863
"F.sterilization","25-30","3",0.014329939759543
"Abstinence","25-30","3",0.030610705688875
"Withdrawal","25-30","3",9.9969438620958e-05
"Other.trad","25-30","3",0.00128704699482169
"Implant","25-30","3",0.218717000425132
"Other.mod","25-30","3",0.00104190914143104
"Pill","30-35","3",0.147160206494621
"IUD","30-35","3",0.0639059056613148
"Injectable","30-35","3",0.450648055846986
"Condom","30-35","3",0.030790947730468
"F.sterilization","30-35","3",0.0495907021055351
"Abstinence","30-35","3",0.0553801259387077
"Withdrawal","30-35","3",0.013626474613963
"Other.trad","30-35","3",0.00916029772507847
"Implant","30-35","3",0.178706629577902
"Other.mod","30-35","3",0.00103065430542388
"Pill","<18","4",NA
"IUD","<18","4",NA
"Injectable","<18","4",NA
"Condom","<18","4",NA
"F.sterilization","<18","4",NA
"Abstinence","<18","4",NA
"Withdrawal","<18","4",NA
"Other.trad","<18","4",NA
"Implant","<18","4",NA
"Other.mod","<18","4",NA
"Pill",">35","4",0.171302191502211
"IUD",">35","4",0.0820298263917972
"Injectable",">35","4",0.353134577587055
"Condom",">35","4",0.0419738924390099
"F.sterilization",">35","4",0.141282430952792
"Abstinence",">35","4",0.0790681344039657
"Withdrawal",">35","4",0.0107514276776458
"Other.trad",">35","4",0.00763596785969487
"Implant",">35","4",0.112821551185827
"Other.mod",">35","4",0
"Pill","18-20","4",0
"IUD","18-20","4",0
"Injectable","18-20","4",0.312225387601774
"Condom","18-20","4",0.687774612398226
"F.sterilization","18-20","4",0
"Abstinence","18-20","4",0
"Withdrawal","18-20","4",0
"Other.trad","18-20","4",0
"Implant","18-20","4",0
"Other.mod","18-20","4",0
"Pill","20-25","4",0.0487898462363338
"IUD","20-25","4",0.0614607350947046
"Injectable","20-25","4",0.612371982945801
"Condom","20-25","4",0.00222935911750826
"F.sterilization","20-25","4",0
"Abstinence","20-25","4",0.0454434419574216
"Withdrawal","20-25","4",0.00956311949061263
"Other.trad","20-25","4",0
"Implant","20-25","4",0.220141515157618
"Other.mod","20-25","4",0
"Pill","25-30","4",0.0504145688776381
"IUD","25-30","4",0.0260646965454764
"Injectable","25-30","4",0.621683191600337
"Condom","25-30","4",0.0251759338466188
"F.sterilization","25-30","4",0.00452368606374771
"Abstinence","25-30","4",0.0234090085755614
"Withdrawal","25-30","4",0.00264408575197994
"Other.trad","25-30","4",0
"Implant","25-30","4",0.246084828738641
"Other.mod","25-30","4",0
"Pill","30-35","4",0.0933429811656375
"IUD","30-35","4",0.0462571727680242
"Injectable","30-35","4",0.512474227783154
"Condom","30-35","4",0.0258818523910165
"F.sterilization","30-35","4",0.0670675911857812
"Abstinence","30-35","4",0.030017657442132
"Withdrawal","30-35","4",0.0114734384875146
"Other.trad","30-35","4",0.00611988562748253
"Implant","30-35","4",0.207365193149257
"Other.mod","30-35","4",0
"Pill","<18","5",NA
"IUD","<18","5",NA
"Injectable","<18","5",NA
"Condom","<18","5",NA
"F.sterilization","<18","5",NA
"Abstinence","<18","5",NA
"Withdrawal","<18","5",NA
"Other.trad","<18","5",NA
"Implant","<18","5",NA
"Other.mod","<18","5",NA
"Pill",">35","5",0.0939025505652999
"IUD",">35","5",0.0561086534158147
"Injectable",">35","5",0.398606316637456
"Condom",">35","5",0.0568572094532791
"F.sterilization",">35","5",0.146493449590698
"Abstinence",">35","5",0.0788284317343811
"Withdrawal",">35","5",0.0179918605328916
"Other.trad",">35","5",0
"Implant",">35","5",0.147801636069341
"Other.mod",">35","5",0.00340989200083967
"Pill","18-20","5",NA
"IUD","18-20","5",NA
"Injectable","18-20","5",NA
"Condom","18-20","5",NA
"F.sterilization","18-20","5",NA
"Abstinence","18-20","5",NA
"Withdrawal","18-20","5",NA
"Other.trad","18-20","5",NA
"Implant","18-20","5",NA
"Other.mod","18-20","5",NA
"Pill","20-25","5",0
"IUD","20-25","5",0
"Injectable","20-25","5",0.599700535302839
"Condom","20-25","5",0
"F.sterilization","20-25","5",0
"Abstinence","20-25","5",0
"Withdrawal","20-25","5",0.131060722237708
"Other.trad","20-25","5",0
"Implant","20-25","5",0.269238742459453
"Other.mod","20-25","5",0
"Pill","25-30","5",0.0704827056857951
"IUD","25-30","5",0.0174809416082314
"Injectable","25-30","5",0.491015219596422
"Condom","25-30","5",0.0444325097437605
"F.sterilization","25-30","5",0.0390975705785581
"Abstinence","25-30","5",0.0346023431358399
"Withdrawal","25-30","5",0.0131187492401941
"Other.trad","25-30","5",0.00501683898306768
"Implant","25-30","5",0.277811349780574
"Other.mod","25-30","5",0.00694177164755685
"Pill","30-35","5",0.0746681506466982
"IUD","30-35","5",0.0375635818220198
"Injectable","30-35","5",0.518028840805647
"Condom","30-35","5",0.00533264378413314
"F.sterilization","30-35","5",0.0841757607080513
"Abstinence","30-35","5",0.0321213052034043
"Withdrawal","30-35","5",0.0128659161612783
"Other.trad","30-35","5",0.00101167669597904
"Implant","30-35","5",0.234232124172789
"Other.mod","30-35","5",0
"Pill","<18","6",NA
"IUD","<18","6",NA
"Injectable","<18","6",NA
"Condom","<18","6",NA
"F.sterilization","<18","6",NA
"Abstinence","<18","6",NA
"Withdrawal","<18","6",NA
"Other.trad","<18","6",NA
"Implant","<18","6",NA
"Other.mod","<18","6",NA
"Pill",">35","6",0.0917311220258169
"IUD",">35","6",0.0410127174455855
"Injectable",">35","6",0.342776420160622
"Condom",">35","6",0.040681286909176
"F.sterilization",">35","6",0.212476274682863
"Abstinence",">35","6",0.10428133047938
"Withdrawal",">35","6",0.0129874144817244
"Other.trad",">35","6",0.0111579256294008
"Implant",">35","6",0.137644559660745
"Other.mod",">35","6",0.00525094852468575
"Pill","18-20","6",NA
"IUD","18-20","6",NA
"Injectable","18-20","6",NA
"Condom","18-20","6",NA
"F.sterilization","18-20","6",NA
"Abstinence","18-20","6",NA
"Withdrawal","18-20","6",NA
"Other.trad","18-20","6",NA
"Implant","18-20","6",NA
"Other.mod","18-20","6",NA
"Pill","20-25","6",0
"IUD","20-25","6",0
"Injectable","20-25","6",0.566015555597721
"Condom","20-25","6",0
"F.sterilization","20-25","6",0
"Abstinence","20-25","6",0
"Withdrawal","20-25","6",0
"Other.trad","20-25","6",0
"Implant","20-25","6",0.433984444402279
"Other.mod","20-25","6",0
"Pill","25-30","6",0.049267591852744
"IUD","25-30","6",0.0599059388635683
"Injectable","25-30","6",0.461680088750471
"Condom","25-30","6",0.0243282177960193
"F.sterilization","25-30","6",0.098375606692884
"Abstinence","25-30","6",0.0684314937250513
"Withdrawal","25-30","6",0
"Other.trad","25-30","6",0
"Implant","25-30","6",0.238011062319262
"Other.mod","25-30","6",0
"Pill","30-35","6",0.0560422369343039
"IUD","30-35","6",0.0132606431797889
"Injectable","30-35","6",0.486124509885442
"Condom","30-35","6",0.017417309223438
"F.sterilization","30-35","6",0.107024947738609
"Abstinence","30-35","6",0.0436069432501822
"Withdrawal","30-35","6",0.0174010241590428
"Other.trad","30-35","6",0.00588084111121657
"Implant","30-35","6",0.253241544517976
"Other.mod","30-35","6",0
