year,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54
1985,9.93,140.37,317.24,307.44,264.43,199.47,114.01,39.30,2.77
1986,8.81,135.72,317.82,307.70,256.99,192.61,110.23,37.43,2.62
1987,9.02,136.98,313.46,302.62,245.85,185.78,104.92,35.78,2.48
1988,8.60,133.80,305.19,297.67,236.98,178.69,101.17,37.27,2.64
1989,8.27,130.06,296.75,289.73,230.59,174.55,95.97,37.85,2.74
1990,8.17,127.24,284.51,281.13,221.45,169.67,91.31,41.47,3.11
1991,7.86,123.76,274.26,268.97,217.74,165.07,86.30,41.72,3.16
1992,7.37,120.74,268.04,264.35,210.73,153.87,82.59,40.21,3.02
1993,6.85,117.43,265.55,260.75,203.06,143.18,78.70,38.33,2.87
1994,6.88,115.83,262.40,254.80,198.01,139.49,75.43,35.99,2.69
1995,6.97,114.68,260.67,250.14,195.31,137.25,73.78,34.24,2.60
1996,7.45,116.48,252.94,244.40,194.31,138.74,72.60,33.59,2.59
1997,7.50,114.78,250.20,240.97,193.17,138.91,72.25,33.45,2.60
1998,7.94,116.52,248.34,241.35,189.84,138.20,71.73,34.29,2.70
1999,8.00,115.99,244.23,238.15,188.12,136.11,69.99,34.84,2.79
2000,8.01,114.96,241.01,237.42,187.75,134.63,68.98,34.04,2.64
2001,8.68,117.28,237.82,235.50,185.37,132.53,68.30,32.39,2.41
2002,8.36,114.05,232.90,230.99,184.20,133.62,67.17,31.56,2.38
2003,8.02,112.34,228.90,227.80,181.07,128.62,64.00,30.50,2.38
2004,8.04,112.52,225.81,224.15,179.11,124.93,61.80,29.77,2.41
2005,7.50,109.26,225.63,221.94,178.30,124.14,60.91,29.46,2.44
2006,7.18,107.55,224.60,219.05,178.67,123.29,60.05,29.61,2.48
2007,7.28,108.00,220.86,216.93,178.01,123.12,60.22,29.87,2.50
2008,7.24,106.59,217.27,215.08,173.59,121.47,57.94,30.31,2.56
2009,7.01,103.53,211.74,211.20,167.51,117.53,54.64,29.85,2.53
2010,6.92,101.77,203.48,206.23,160.52,113.97,51.36,28.95,2.44
2011,6.51,97.34,199.67,199.90,154.21,109.73,48.25,27.93,2.37
2012,6.21,93.70,197.08,193.14,148.20,106.26,45.39,27.00,2.32
2013,6.02,90.86,194.32,185.96,143.26,100.73,42.44,26.03,2.27
2014,5.77,86.96,192.22,183.32,139.81,94.11,40.21,25.26,2.23
2015,5.37,81.43,194.38,184.79,139.27,90.07,38.73,24.73,2.22
2016,5.20,76.81,191.88,189.11,134.18,85.86,36.80,23.57,2.12
2017,5.08,72.35,183.34,189.58,135.67,84.34,35.72,21.37,1.90
2018,4.82,71.30,175.75,181.48,138.07,85.42,37.87,20.13,1.72
2019,3.64,69.58,174.28,176.43,135.88,80.84,36.62,15.75,1.27
2020,3.03,64.94,172.26,174.12,136.10,80.51,34.88,13.12,1.03
2021,3.03,64.19,169.02,172.34,133.42,78.52,33.75,12.34,0.96
