"age","edu","parity","cum.percent","perc"
32,24,"6",0,0
33,24,"6",0,0
34,24,"6",0,0
35,24,"6",0,0
36,24,"6",0,0
37,24,"6",0,0
38,24,"6",0,0
39,24,"6",0,0
40,24,"6",0,0
41,24,"6",0,0
42,24,"6",0,0
43,24,"6",0,0
44,24,"6",0,0
45,24,"6",0,0
46,24,"6",0,0
47,24,"6",0,0
48,24,"6",0,0
49,24,"6",0,0
15,21,"0",0,0
16,21,"0",0,0
17,21,"0",0,0
18,21,"0",0,0
19,21,"0",0,0
20,21,"0",0,0
21,21,"0",0,0
22,21,"0",0,0
23,21,"0",0,0
24,21,"0",0,0
25,21,"0",0,0
26,21,"0",0,0
27,21,"0",0,0
28,21,"0",0,0
29,21,"0",0,0
30,21,"0",0,0
31,21,"0",0,0
32,21,"0",0,0
33,21,"0",0,0
34,21,"0",0,0
35,21,"0",0,0
36,21,"0",0,0
37,21,"0",0,0
38,21,"0",0,0
39,21,"0",0,0
40,21,"0",0,0
41,21,"0",0,0
42,21,"0",0,0
43,21,"0",0,0
44,21,"0",0,0
45,21,"0",0,0
46,21,"0",0,0
47,21,"0",0,0
48,21,"0",0,0
49,21,"0",0,0
15,21,"1",0,0
16,21,"1",0,0
17,21,"1",0,0
18,21,"1",0,0
19,21,"1",0,0
20,21,"1",0,0
21,21,"1",0,0
22,21,"1",0,0
23,21,"1",0,0
24,21,"1",0,0
25,21,"1",0,0
26,21,"1",0,0
27,21,"1",0,0
28,21,"1",0,0
29,21,"1",0,0
30,21,"1",0,0
31,21,"1",0,0
32,21,"1",0,0
33,21,"1",0,0
34,21,"1",0,0
35,21,"1",0,0
36,21,"1",0,0
37,21,"1",0,0
38,21,"1",0,0
39,21,"1",0,0
40,21,"1",0.123591886326648,0.123591886326648
41,21,"1",0,0
42,21,"1",0,0
43,21,"1",0,0
44,21,"1",0,0
45,21,"1",0,0
46,21,"1",0,0
47,21,"1",0,0
48,21,"1",0,0
49,21,"1",0,0
15,21,"2",0,0
16,21,"2",0,0
17,21,"2",0,0
18,21,"2",0,0
19,21,"2",0,0
20,21,"2",0,0
21,21,"2",0,0
22,21,"2",0,0
23,21,"2",0,0
24,21,"2",0,0
25,21,"2",0,0
26,21,"2",0,0
27,21,"2",0,0
28,21,"2",0,0
29,21,"2",0,0
30,21,"2",0,0
31,21,"2",0,0
32,21,"2",0,0
33,21,"2",0,0
34,21,"2",0,0
35,21,"2",0,0
36,21,"2",0,0
37,21,"2",0,0
38,21,"2",0,0
39,21,"2",0,0
40,21,"2",0,0
41,21,"2",0,0
42,21,"2",0,0
43,21,"2",0.00586215537934385,0.00586215537934385
44,21,"2",0,0
45,21,"2",0,0
46,21,"2",0,0
47,21,"2",0,0
48,21,"2",0,0
49,21,"2",0,0
15,21,"3",NA,NA
16,21,"3",NA,NA
17,21,"3",0,0
18,21,"3",0,0
19,21,"3",0,0
20,21,"3",0,0
21,21,"3",0,0
22,21,"3",0,0
23,21,"3",0,0
24,21,"3",0,0
25,21,"3",0,0
26,21,"3",0,0
27,21,"3",0,0
28,21,"3",0,0
29,21,"3",0,0
30,21,"3",0,0
31,21,"3",0,0
32,21,"3",0,0
33,21,"3",0,0
34,21,"3",0.00132963681832477,0
35,21,"3",0,0
36,21,"3",0,0
37,21,"3",0,0
38,21,"3",0,0
39,21,"3",0,0
40,21,"3",0,0
41,21,"3",0,0
42,21,"3",0,0
43,21,"3",0,0
44,21,"3",0,0
45,21,"3",0,0
46,21,"3",0,0
47,21,"3",0,0
48,21,"3",0,0
49,21,"3",0,0
15,21,"4",NA,NA
16,21,"4",NA,NA
17,21,"4",NA,NA
18,21,"4",NA,NA
19,21,"4",0,0
20,21,"4",0,0
21,21,"4",0,0
22,21,"4",0,0
23,21,"4",0,0
24,21,"4",0,0
25,21,"4",0,0
26,21,"4",0,0
27,21,"4",0,0
28,21,"4",0,0
29,21,"4",0,0
30,21,"4",0,0
31,21,"4",0,0
32,21,"4",0,0
33,21,"4",0,0
34,21,"4",0,0
35,21,"4",0,0
36,21,"4",0,0
37,21,"4",0,0
38,21,"4",0,0
39,21,"4",0,0
40,21,"4",0,0
41,21,"4",0,0
42,21,"4",0,0
43,21,"4",0,0
44,21,"4",0,0
45,21,"4",0,0
46,21,"4",0,0
47,21,"4",0,0
48,21,"4",0,0
49,21,"4",0,0
15,21,"5",NA,NA
16,21,"5",NA,NA
17,21,"5",NA,NA
18,21,"5",NA,NA
19,21,"5",NA,NA
20,21,"5",0,0
21,21,"5",NA,NA
22,21,"5",0,0
23,21,"5",0,0
24,21,"5",0,0
25,21,"5",0,0
26,21,"5",0,0
27,21,"5",0,0
28,21,"5",0,0
29,21,"5",0,0
30,21,"5",0,0
31,21,"5",0,0
32,21,"5",0,0
33,21,"5",0,0
34,21,"5",0,0
35,21,"5",0,0
36,21,"5",0,0
37,21,"5",0,0
38,21,"5",0,0
39,21,"5",0,0
40,21,"5",0,0
41,21,"5",0,0
42,21,"5",0,0
43,21,"5",0,0
44,21,"5",0,0
45,21,"5",0,0
46,21,"5",0,0
47,21,"5",0,0
48,21,"5",0,0
49,21,"5",0,0
15,21,"6",NA,NA
16,21,"6",NA,NA
17,21,"6",NA,NA
18,21,"6",NA,NA
19,21,"6",NA,NA
20,21,"6",0,0
21,21,"6",NA,NA
22,21,"6",0,0
23,21,"6",NA,NA
24,21,"6",0,0
25,21,"6",0,0
26,21,"6",0,0
27,21,"6",0,0
28,21,"6",0,0
29,21,"6",0,0
30,21,"6",0,0
31,21,"6",0,0
32,21,"6",0,0
33,21,"6",0,0
34,21,"6",0,0
35,21,"6",0,0
36,21,"6",0,0
37,21,"6",0,0
38,21,"6",0,0
39,21,"6",0,0
40,21,"6",0,0
41,21,"6",0,0
42,21,"6",0,0
43,21,"6",0,0
44,21,"6",0,0
45,21,"6",0,0
46,21,"6",0,0
47,21,"6",0,0
48,21,"6",0,0
49,21,"6",0,0
15,20,"0",0,0
16,20,"0",0,0
17,20,"0",0,0
18,20,"0",0,0
19,20,"0",0,0
20,20,"0",0,0
21,20,"0",0,0
22,20,"0",0,0
23,20,"0",0,0
24,20,"0",0,0
25,20,"0",0,0
26,20,"0",0,0
27,20,"0",0,0
28,20,"0",0,0
29,20,"0",0,0
30,20,"0",0,0
31,20,"0",0,0
32,20,"0",0,0
33,20,"0",0,0
34,20,"0",0,0
35,20,"0",0,0
36,20,"0",0,0
37,20,"0",0,0
38,20,"0",0,0
39,20,"0",0.322947244959422,0.322947244959422
40,20,"0",0,0
41,20,"0",0,0
42,20,"0",0,0
43,20,"0",0,0
44,20,"0",0,0
45,20,"0",0,0
46,20,"0",0,0
47,20,"0",0,0
48,20,"0",0,0
49,20,"0",0,0
15,20,"1",0,0
16,20,"1",0,0
17,20,"1",0,0
18,20,"1",0,0
19,20,"1",0,0
20,20,"1",0,0
21,20,"1",0,0
22,20,"1",0,0
23,20,"1",0,0
24,20,"1",0,0
25,20,"1",0,0
26,20,"1",0,0
27,20,"1",0,0
28,20,"1",0,0
29,20,"1",0,0
30,20,"1",0,0
31,20,"1",0,0
32,20,"1",0,0
33,20,"1",0,0
34,20,"1",0,0
35,20,"1",0,0
36,20,"1",0,0
37,20,"1",0,0
38,20,"1",0,0
39,20,"1",0,0
40,20,"1",0.123591886326648,0
41,20,"1",0,0
42,20,"1",0,0
43,20,"1",0,0
44,20,"1",0,0
45,20,"1",0,0
46,20,"1",0,0
47,20,"1",0,0
48,20,"1",0,0
49,20,"1",0,0
15,20,"2",0,0
16,20,"2",0,0
17,20,"2",0,0
18,20,"2",0,0
19,20,"2",0,0
20,20,"2",0,0
21,20,"2",0,0
22,20,"2",0,0
23,20,"2",0,0
24,20,"2",0,0
25,20,"2",0,0
26,20,"2",0,0
27,20,"2",0,0
28,20,"2",0,0
29,20,"2",0,0
30,20,"2",0,0
31,20,"2",0,0
32,20,"2",0,0
33,20,"2",0,0
34,20,"2",0,0
35,20,"2",0,0
36,20,"2",0,0
37,20,"2",0,0
38,20,"2",0,0
39,20,"2",0,0
40,20,"2",0,0
41,20,"2",0,0
42,20,"2",0,0
43,20,"2",0.00586215537934385,0
44,20,"2",0,0
45,20,"2",0,0
46,20,"2",0,0
47,20,"2",0,0
48,20,"2",0,0
49,20,"2",0,0
15,20,"3",NA,NA
16,20,"3",NA,NA
17,20,"3",0,0
18,20,"3",0,0
19,20,"3",0,0
20,20,"3",0,0
21,20,"3",0,0
22,20,"3",0,0
23,20,"3",0,0
24,20,"3",0,0
25,20,"3",0,0
26,20,"3",0,0
27,20,"3",0,0
28,20,"3",0,0
29,20,"3",0,0
30,20,"3",0,0
31,20,"3",0,0
32,20,"3",0,0
33,20,"3",0,0
34,20,"3",0.00132963681832477,0
35,20,"3",0,0
36,20,"3",0,0
37,20,"3",0,0
38,20,"3",0,0
39,20,"3",0.00971686389693129,0.00971686389693129
40,20,"3",0,0
41,20,"3",0,0
42,20,"3",0,0
43,20,"3",0.00125885256166441,0.00125885256166441
44,20,"3",0,0
45,20,"3",0.00500451004045021,0.00500451004045021
46,20,"3",0,0
47,20,"3",0,0
48,20,"3",0.003177130079729,0.003177130079729
49,20,"3",0,0
15,20,"4",NA,NA
16,20,"4",NA,NA
17,20,"4",NA,NA
18,20,"4",NA,NA
19,20,"4",0,0
20,20,"4",0,0
21,20,"4",0,0
22,20,"4",0,0
23,20,"4",0,0
24,20,"4",0,0
25,20,"4",0,0
26,20,"4",0,0
27,20,"4",0,0
28,20,"4",0,0
29,20,"4",0,0
30,20,"4",0,0
31,20,"4",0,0
32,20,"4",0,0
33,20,"4",0,0
34,20,"4",0,0
35,20,"4",0,0
36,20,"4",0,0
37,20,"4",0,0
38,20,"4",0,0
39,20,"4",0,0
40,20,"4",0,0
41,20,"4",0,0
42,20,"4",0.00249533841682463,0.00249533841682463
43,20,"4",0,0
44,20,"4",0,0
45,20,"4",0,0
46,20,"4",0,0
47,20,"4",0,0
48,20,"4",0,0
49,20,"4",0.0532532958515921,0.0532532958515921
15,20,"5",NA,NA
16,20,"5",NA,NA
17,20,"5",NA,NA
18,20,"5",NA,NA
19,20,"5",NA,NA
20,20,"5",0,0
21,20,"5",NA,NA
22,20,"5",0,0
23,20,"5",0,0
24,20,"5",0,0
25,20,"5",0,0
26,20,"5",0,0
27,20,"5",0,0
28,20,"5",0,0
29,20,"5",0,0
30,20,"5",0,0
31,20,"5",0,0
32,20,"5",0,0
33,20,"5",0,0
34,20,"5",0,0
35,20,"5",0,0
36,20,"5",0,0
37,20,"5",0,0
38,20,"5",0,0
39,20,"5",0,0
40,20,"5",0,0
41,20,"5",0,0
42,20,"5",0,0
43,20,"5",0,0
44,20,"5",0,0
45,20,"5",0,0
46,20,"5",0,0
47,20,"5",0,0
48,20,"5",0,0
49,20,"5",0,0
15,20,"6",NA,NA
16,20,"6",NA,NA
17,20,"6",NA,NA
18,20,"6",NA,NA
19,20,"6",NA,NA
20,20,"6",0,0
21,20,"6",NA,NA
22,20,"6",0,0
23,20,"6",NA,NA
24,20,"6",0,0
25,20,"6",0,0
26,20,"6",0,0
27,20,"6",0,0
28,20,"6",0,0
29,20,"6",0,0
30,20,"6",0,0
31,20,"6",0,0
32,20,"6",0,0
33,20,"6",0,0
34,20,"6",0,0
35,20,"6",0,0
36,20,"6",0,0
37,20,"6",0,0
38,20,"6",0,0
39,20,"6",0,0
40,20,"6",0,0
41,20,"6",0,0
42,20,"6",0,0
43,20,"6",0,0
44,20,"6",0,0
45,20,"6",0,0
46,20,"6",0,0
47,20,"6",0,0
48,20,"6",0,0
49,20,"6",0,0
15,19,"0",0,0
16,19,"0",0,0
17,19,"0",0,0
18,19,"0",0,0
19,19,"0",0,0
20,19,"0",0,0
21,19,"0",0,0
22,19,"0",0,0
23,19,"0",0,0
24,19,"0",0,0
25,19,"0",0,0
26,19,"0",0,0
27,19,"0",0,0
28,19,"0",0,0
29,19,"0",0,0
30,19,"0",0,0
31,19,"0",0,0
32,19,"0",0,0
33,19,"0",0,0
34,19,"0",0,0
35,19,"0",0,0
36,19,"0",0,0
37,19,"0",0,0
38,19,"0",0,0
39,19,"0",0.322947244959422,0
40,19,"0",0,0
41,19,"0",0,0
42,19,"0",0.0591096736610265,0.0591096736610265
43,19,"0",0,0
44,19,"0",0,0
45,19,"0",0,0
46,19,"0",0,0
47,19,"0",0,0
48,19,"0",0,0
49,19,"0",0,0
15,19,"1",0,0
16,19,"1",0,0
17,19,"1",0,0
18,19,"1",0,0
19,19,"1",0,0
20,19,"1",0,0
21,19,"1",0,0
22,19,"1",0,0
23,19,"1",0,0
24,19,"1",0,0
25,19,"1",0,0
26,19,"1",0,0
27,19,"1",0,0
28,19,"1",0.00173686904409164,0.00173686904409164
29,19,"1",0,0
30,19,"1",0,0
31,19,"1",0,0
32,19,"1",0,0
33,19,"1",0,0
34,19,"1",0,0
35,19,"1",0,0
36,19,"1",0,0
37,19,"1",0,0
38,19,"1",0,0
39,19,"1",0,0
40,19,"1",0.123591886326648,0
41,19,"1",0,0
42,19,"1",0,0
43,19,"1",0,0
44,19,"1",0,0
45,19,"1",0,0
46,19,"1",0,0
47,19,"1",0,0
48,19,"1",0,0
49,19,"1",0,0
15,19,"2",0,0
16,19,"2",0,0
17,19,"2",0,0
18,19,"2",0,0
19,19,"2",0,0
20,19,"2",0,0
21,19,"2",0,0
22,19,"2",0,0
23,19,"2",0,0
24,19,"2",0,0
25,19,"2",0,0
26,19,"2",0,0
27,19,"2",0,0
28,19,"2",0,0
29,19,"2",0,0
30,19,"2",0,0
31,19,"2",0,0
32,19,"2",0,0
33,19,"2",0.00547186357425292,0.00547186357425292
34,19,"2",0,0
35,19,"2",0,0
36,19,"2",0,0
37,19,"2",0,0
38,19,"2",0,0
39,19,"2",0.00364819655873102,0.00364819655873102
40,19,"2",0,0
41,19,"2",0,0
42,19,"2",0,0
43,19,"2",0.00586215537934385,0
44,19,"2",0,0
45,19,"2",0.00489186849255203,0.00489186849255203
46,19,"2",0,0
47,19,"2",0,0
48,19,"2",0,0
49,19,"2",0,0
15,19,"3",NA,NA
16,19,"3",NA,NA
17,19,"3",0,0
18,19,"3",0,0
19,19,"3",0,0
20,19,"3",0,0
21,19,"3",0,0
22,19,"3",0,0
23,19,"3",0,0
24,19,"3",0,0
25,19,"3",0,0
26,19,"3",0,0
27,19,"3",0,0
28,19,"3",0,0
29,19,"3",0,0
30,19,"3",0,0
31,19,"3",0.0068212402594196,0.0068212402594196
32,19,"3",0,0
33,19,"3",0,0
34,19,"3",0.00132963681832477,0
35,19,"3",0,0
36,19,"3",0,0
37,19,"3",0,0
38,19,"3",0,0
39,19,"3",0.00971686389693129,0
40,19,"3",0,0
41,19,"3",0,0
42,19,"3",0.00306766807367572,0.00306766807367572
43,19,"3",0.00125885256166441,0
44,19,"3",0,0
45,19,"3",0.00500451004045021,0
46,19,"3",0,0
47,19,"3",0,0
48,19,"3",0.003177130079729,0
49,19,"3",0,0
15,19,"4",NA,NA
16,19,"4",NA,NA
17,19,"4",NA,NA
18,19,"4",NA,NA
19,19,"4",0,0
20,19,"4",0,0
21,19,"4",0,0
22,19,"4",0,0
23,19,"4",0,0
24,19,"4",0,0
25,19,"4",0,0
26,19,"4",0,0
27,19,"4",0,0
28,19,"4",0,0
29,19,"4",0,0
30,19,"4",0,0
31,19,"4",0,0
32,19,"4",0,0
33,19,"4",0,0
34,19,"4",0,0
35,19,"4",0,0
36,19,"4",0,0
37,19,"4",0,0
38,19,"4",0,0
39,19,"4",0,0
40,19,"4",0,0
41,19,"4",0,0
42,19,"4",0.00249533841682463,0
43,19,"4",0,0
44,19,"4",0,0
45,19,"4",0,0
46,19,"4",0,0
47,19,"4",0,0
48,19,"4",0,0
49,19,"4",0.0532532958515921,0
15,19,"5",NA,NA
16,19,"5",NA,NA
17,19,"5",NA,NA
18,19,"5",NA,NA
19,19,"5",NA,NA
20,19,"5",0,0
21,19,"5",NA,NA
22,19,"5",0,0
23,19,"5",0,0
24,19,"5",0,0
25,19,"5",0,0
26,19,"5",0,0
27,19,"5",0,0
28,19,"5",0,0
29,19,"5",0,0
30,19,"5",0,0
31,19,"5",0,0
32,19,"5",0,0
33,19,"5",0,0
34,19,"5",0,0
35,19,"5",0,0
36,19,"5",0,0
37,19,"5",0,0
38,19,"5",0,0
39,19,"5",0,0
40,19,"5",0,0
41,19,"5",0,0
42,19,"5",0,0
43,19,"5",0,0
44,19,"5",0,0
45,19,"5",0,0
46,19,"5",0,0
47,19,"5",0,0
48,19,"5",0,0
49,19,"5",0,0
15,19,"6",NA,NA
16,19,"6",NA,NA
17,19,"6",NA,NA
18,19,"6",NA,NA
19,19,"6",NA,NA
20,19,"6",0,0
21,19,"6",NA,NA
22,19,"6",0,0
23,19,"6",NA,NA
24,19,"6",0,0
25,19,"6",0,0
26,19,"6",0,0
27,19,"6",0,0
28,19,"6",0,0
29,19,"6",0,0
30,19,"6",0,0
31,19,"6",0,0
32,19,"6",0,0
33,19,"6",0,0
34,19,"6",0,0
35,19,"6",0,0
36,19,"6",0,0
37,19,"6",0,0
38,19,"6",0,0
39,19,"6",0,0
40,19,"6",0,0
41,19,"6",0,0
42,19,"6",0,0
43,19,"6",0,0
44,19,"6",0,0
45,19,"6",0.00309284832775197,0.00309284832775197
46,19,"6",0,0
47,19,"6",0,0
48,19,"6",0,0
49,19,"6",0,0
15,18,"0",0,0
16,18,"0",0,0
17,18,"0",0,0
18,18,"0",0,0
19,18,"0",0,0
20,18,"0",0,0
21,18,"0",0,0
22,18,"0",0.00474732662962604,0.00474732662962604
23,18,"0",0.0177230548485199,0.0177230548485199
24,18,"0",0,0
25,18,"0",0,0
26,18,"0",0.0533255694451363,0.0533255694451363
27,18,"0",0.00354866293412165,0.00354866293412165
28,18,"0",0.00957815951951064,0.00957815951951064
29,18,"0",0,0
30,18,"0",0,0
31,18,"0",0,0
32,18,"0",0,0
33,18,"0",0.29369173775004,0.29369173775004
34,18,"0",0.136812010191122,0.136812010191122
35,18,"0",0,0
36,18,"0",0.0044448169343794,0.0044448169343794
37,18,"0",0,0
38,18,"0",0,0
39,18,"0",0.322947244959422,0
40,18,"0",0,0
41,18,"0",0.0244965610614192,0.0244965610614192
42,18,"0",0.0591096736610265,0
43,18,"0",0,0
44,18,"0",0,0
45,18,"0",0,0
46,18,"0",0,0
47,18,"0",0,0
48,18,"0",0,0
49,18,"0",0,0
15,18,"1",0,0
16,18,"1",0,0
17,18,"1",0,0
18,18,"1",0,0
19,18,"1",0,0
20,18,"1",0,0
21,18,"1",0,0
22,18,"1",0,0
23,18,"1",0,0
24,18,"1",0,0
25,18,"1",0,0
26,18,"1",0.00621729277907729,0.00621729277907729
27,18,"1",0.00204654779106804,0.00204654779106804
28,18,"1",0.00575678686795927,0.00401991782386763
29,18,"1",0.00507336320302943,0.00507336320302943
30,18,"1",0,0
31,18,"1",0,0
32,18,"1",0.00499100187925443,0.00499100187925443
33,18,"1",0.0045261993023857,0.0045261993023857
34,18,"1",0.00497139572351952,0.00497139572351952
35,18,"1",0.0482506978184096,0.0482506978184096
36,18,"1",0.0161084866821442,0.0161084866821442
37,18,"1",0,0
38,18,"1",0,0
39,18,"1",0,0
40,18,"1",0.123591886326648,0
41,18,"1",0,0
42,18,"1",0,0
43,18,"1",0,0
44,18,"1",0.0500530070087394,0.0500530070087394
45,18,"1",0.0943896396739846,0.0943896396739846
46,18,"1",0,0
47,18,"1",0,0
48,18,"1",0,0
49,18,"1",0,0
15,18,"2",0,0
16,18,"2",0,0
17,18,"2",0,0
18,18,"2",0,0
19,18,"2",0,0
20,18,"2",0,0
21,18,"2",0,0
22,18,"2",0,0
23,18,"2",0,0
24,18,"2",0,0
25,18,"2",0,0
26,18,"2",0,0
27,18,"2",0,0
28,18,"2",0,0
29,18,"2",0,0
30,18,"2",0,0
31,18,"2",0,0
32,18,"2",0,0
33,18,"2",0.00547186357425292,0
34,18,"2",0.00594414224359647,0.00594414224359647
35,18,"2",0.0366806440442589,0.0366806440442589
36,18,"2",0.0317861513004457,0.0317861513004457
37,18,"2",0,0
38,18,"2",0.0211665715402039,0.0211665715402039
39,18,"2",0.00364819655873102,0
40,18,"2",0.0256037072191341,0.0256037072191341
41,18,"2",0.0103309354945281,0.0103309354945281
42,18,"2",0,0
43,18,"2",0.0121976963708887,0.00633554099154488
44,18,"2",0,0
45,18,"2",0.00489186849255203,0
46,18,"2",0.0124583565793236,0.0124583565793236
47,18,"2",0,0
48,18,"2",0.173112100978357,0.173112100978357
49,18,"2",0,0
15,18,"3",NA,NA
16,18,"3",NA,NA
17,18,"3",0,0
18,18,"3",0,0
19,18,"3",0,0
20,18,"3",0,0
21,18,"3",0,0
22,18,"3",0,0
23,18,"3",0,0
24,18,"3",0,0
25,18,"3",0,0
26,18,"3",0,0
27,18,"3",0,0
28,18,"3",0,0
29,18,"3",0,0
30,18,"3",0,0
31,18,"3",0.0111983445019798,0.00437710424256017
32,18,"3",0,0
33,18,"3",0,0
34,18,"3",0.00132963681832477,0
35,18,"3",0,0
36,18,"3",0.0470977477810487,0.0470977477810487
37,18,"3",0,0
38,18,"3",0.00270587383723503,0.00270587383723503
39,18,"3",0.0109686578099313,0.00125179391299997
40,18,"3",0,0
41,18,"3",0,0
42,18,"3",0.00867005619444,0.00560238812076428
43,18,"3",0.00125885256166441,0
44,18,"3",0.0026755908505686,0.0026755908505686
45,18,"3",0.00500451004045021,0
46,18,"3",0,0
47,18,"3",0.0291497163205224,0.0291497163205224
48,18,"3",0.003177130079729,0
49,18,"3",0.0211271187180842,0.0211271187180842
15,18,"4",NA,NA
16,18,"4",NA,NA
17,18,"4",NA,NA
18,18,"4",NA,NA
19,18,"4",0,0
20,18,"4",0,0
21,18,"4",0,0
22,18,"4",0,0
23,18,"4",0,0
24,18,"4",0,0
25,18,"4",0,0
26,18,"4",0,0
27,18,"4",0,0
28,18,"4",0,0
29,18,"4",0,0
30,18,"4",0,0
31,18,"4",0,0
32,18,"4",0,0
33,18,"4",0,0
34,18,"4",0,0
35,18,"4",0,0
36,18,"4",0.00282001549034832,0.00282001549034832
37,18,"4",0,0
38,18,"4",0,0
39,18,"4",0,0
40,18,"4",0,0
41,18,"4",0,0
42,18,"4",0.00249533841682463,0
43,18,"4",0,0
44,18,"4",0,0
45,18,"4",0.0158944983331489,0.0158944983331489
46,18,"4",0,0
47,18,"4",0,0
48,18,"4",0.00583737142464123,0.00583737142464123
49,18,"4",0.0532532958515921,0
15,18,"5",NA,NA
16,18,"5",NA,NA
17,18,"5",NA,NA
18,18,"5",NA,NA
19,18,"5",NA,NA
20,18,"5",0,0
21,18,"5",NA,NA
22,18,"5",0,0
23,18,"5",0,0
