year,region,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49
2004,Amhara,4.8,110.2,230.2,229.2,210.8,144.2,71.4,38.4
2004,Benishangul-Gumuz,0,120.4,266.4,264.4,180,121.4,50,NA
2004,Dire Dawa,0,55.4,191.4,156.2,176.6,102.2,27.8,NA
2004,Gambela,1.8,123.2,204.8,165,143,102.8,22.2,NA
2004,Harari,0,88.4,186.8,189.8,154.6,118.4,31.4,NA
2004,Oromia,0.8,126.4,253.4,272,263,192.6,103,20.8
2004,SNNPR,1,74.4,226,255.4,263.6,166,93.4,46
2004,Somali,5.6,133.6,294.8,245.4,204,166.4,114.8181818,NA
2004,Tigray,2.6,103,231.4,222,194.8,156.6,101.6,24.6
2005,Addis Ababa,1,17,59,81,75,26,17,0
2005,Afar,4,113,238,198,194,128,67,9.6875
2005,Amhara,5,102,229,229,207,142,63,45
2005,Benishangul-Gumuz,0,123,271,275,178,111,44,NA
2005,Dire Dawa,0,57,211,150,172,104,20,NA
2005,Gambela,2,130,203,153,135,96,19,NA
2005,Harari,0,89,189,190,147,110,30,NA
2005,Oromia,1,132,251,270,260,193,108,22
2005,SNNPR,1,78,226,253,267,163,93,48
2005,Somali,7,135,308,247,209,177,119.2727273,NA
2005,Tigray,3,104,236,219,184,150,106,26
2006,Addis Ababa,0.833333333,16.66666667,63.83333333,82.83333333,73.83333333,27.33333333,14.83333333,0
2006,Afar,3.666666667,112,238,205.1666667,192,130.6666667,63.16666667,10.625
2006,Amhara,4.166666667,95.16666667,224.8333333,221.8333333,198.1666667,141.1666667,63.83333333,40.83333333
2006,Benishangul-Gumuz,1,126,263.3333333,267.5,184.8333333,113.8333333,48.83333333,NA
2006,Dire Dawa,0.333333333,56,203.3333333,151.5,173.8333333,103.5,18.66666667,NA
2006,Gambela,2.833333333,121.1666667,192.3333333,157,140,104,23.5,NA
2006,Harari,0,92.83333333,186.1666667,191.1666667,148.1666667,103.5,34.5,NA
2006,Oromia,0.833333333,127.8333333,249.3333333,272.6666667,253.5,187.5,102.5,24.5
2006,SNNPR,0.833333333,75.83333333,218,252.3333333,257.5,162.5,90,46.5
2006,Somali,6.5,132,306.8333333,259.1666667,224.5,179.5,123.7272727,NA
2006,Tigray,2.666666667,100,225.3333333,221,191,150.5,95.5,23
2007,Addis Ababa,0.666666667,16.33333333,68.66666667,84.66666667,72.66666667,28.66666667,12.66666667,0
2007,Afar,3.333333333,111,238,212.3333333,190,133.3333333,59.33333333,11.5625
2007,Amhara,3.333333333,88.33333333,220.6666667,214.6666667,189.3333333,140.3333333,64.66666667,36.66666667
2007,Benishangul-Gumuz,2,129,255.6666667,260,191.6666667,116.6666667,53.66666667,NA
2007,Dire Dawa,0.666666667,55,195.6666667,153,175.6666667,103,17.33333333,NA
2007,Gambela,3.666666667,112.3333333,181.6666667,161,145,112,28,NA
2007,Harari,0,96.66666667,183.3333333,192.3333333,149.3333333,97,39,NA
2007,Oromia,0.666666667,123.6666667,247.6666667,275.3333333,247,182,97,27
2007,SNNPR,0.666666667,73.66666667,210,251.6666667,248,162,87,45
2007,Somali,6,129,305.6666667,271.3333333,240,182,128.1818182,NA
2007,Tigray,2.333333333,96,214.6666667,223,198,151,85,20
2008,Addis Ababa,0.5,16,73.5,86.5,71.5,30,10.5,0
2008,Afar,3,110,238,219.5,188,136,55.5,12.5
2008,Amhara,2.5,81.5,216.5,207.5,180.5,139.5,65.5,32.5
2008,Benishangul-Gumuz,3,132,248,252.5,198.5,119.5,58.5,NA
2008,Dire Dawa,1,54,188,154.5,177.5,102.5,16,NA
2008,Gambela,4.5,103.5,171,165,150,120,32.5,NA
2008,Harari,0,100.5,180.5,193.5,150.5,90.5,43.5,NA
2008,Oromia,0.5,119.5,246,278,240.5,176.5,91.5,29.5
2008,SNNPR,0.5,71.5,202,251,238.5,161.5,84,43.5
2008,Somali,5.5,126,304.5,283.5,255.5,184.5,132.6363636,NA
2008,Tigray,2,92,204,225,205,151.5,74.5,17
2009,Addis Ababa,0.333333333,15.66666667,78.33333333,88.33333333,70.33333333,31.33333333,8.333333333,0
2009,Afar,2.666666667,109,238,226.6666667,186,138.6666667,51.66666667,13.4375
2009,Amhara,1.666666667,74.66666667,212.3333333,200.3333333,171.6666667,138.6666667,66.33333333,28.33333333
2009,Benishangul-Gumuz,4,135,240.3333333,245,205.3333333,122.3333333,63.33333333,NA
2009,Dire Dawa,1.333333333,53,180.3333333,156,179.3333333,102,14.66666667,NA
2009,Gambela,5.333333333,94.66666667,160.3333333,169,155,128,37,NA
2009,Harari,0,104.3333333,177.6666667,194.6666667,151.6666667,84,48,NA
2009,Oromia,0.333333333,115.3333333,244.3333333,280.6666667,234,171,86,32
2009,SNNPR,0.333333333,69.33333333,194,250.3333333,229,161,81,42
2009,Somali,5,123,303.3333333,295.6666667,271,187,137.0909091,NA
2009,Tigray,1.666666667,88,193.3333333,227,212,152,64,14
2010,Addis Ababa,0.166666667,15.33333333,83.16666667,90.16666667,69.16666667,32.66666667,6.166666667,0
2010,Afar,2.333333333,108,238,233.8333333,184,141.3333333,47.83333333,14.375
2010,Amhara,0.833333333,67.83333333,208.1666667,193.1666667,162.8333333,137.8333333,67.16666667,24.16666667
2010,Benishangul-Gumuz,5,138,232.6666667,237.5,212.1666667,125.1666667,68.16666667,NA
2010,Dire Dawa,1.666666667,52,172.6666667,157.5,181.1666667,101.5,13.33333333,NA
2010,Gambela,6.166666667,85.83333333,149.6666667,173,160,136,41.5,NA
2010,Harari,0,108.1666667,174.8333333,195.8333333,152.8333333,77.5,52.5,NA
2010,Oromia,0.166666667,111.1666667,242.6666667,283.3333333,227.5,165.5,80.5,34.5
2010,SNNPR,0.166666667,67.16666667,186,249.6666667,219.5,160.5,78,40.5
2010,Somali,4.5,120,302.1666667,307.8333333,286.5,189.5,141.5454545,NA
2010,Tigray,1.333333333,84,182.6666667,229,219,152.5,53.5,11
2011,Addis Ababa,0,15,88,92,68,34,4,0
2011,Afar,2,107,238,241,182,144,44,15.3125
2011,Amhara,0,61,204,186,154,137,68,20
2011,Benishangul-Gumuz,6,141,225,230,219,128,73,22
2011,Dire Dawa,2,51,165,159,183,101,12,NA
2011,Gambela,7,77,139,177,165,144,46,42
2011,Harari,0,112,172,197,154,71,57,NA
2011,Oromia,0,107,241,286,221,160,75,37
2011,SNNPR,0,65,178,249,210,160,75,39
2011,Somali,4,117,301,320,302,192,146,NA
2011,Tigray,1,80,172,231,226,153,43,8
2012,Addis Ababa,0,15.2,83.6,96.4,74,38.6,5.8,0
2012,Afar,2,115.6,246,241.8,183.4,142.4,51.6,16.25
2012,Amhara,0,59,194.2,177.2,155.2,133.8,72.2,21.4
2012,Benishangul-Gumuz,4.8,131.4,222.8,227,211.6,126,69,NA
2012,Dire Dawa,1.8,53.2,168.8,160.4,168,98.8,11.4,NA
2012,Gambela,6.4,81.2,143,180.8,158,134.4,39.4,NA
2012,Harari,0,110,181.6,196.4,160.2,70.6,53.8,NA
2012,Oromia,0.4,108,243.6,280.8,219.4,158.8,71.4,34.6
2012,SNNPR,0,63.6,179.4,243.2,205.8,155.6,73.6,36.6
2012,Somali,3.4,119.6,304.8,330.6,305.6,191.4,133.8,NA
2012,Tigray,0.8,80.2,174,228.6,222.2,154.8,50.8,7.2
2013,Addis Ababa,0,15.4,79.2,100.8,80,43.2,7.6,0
2013,Afar,2,124.2,254,242.6,184.8,140.8,59.2,17.1875
2013,Amhara,0,57,184.4,168.4,156.4,130.6,76.4,22.8
2013,Benishangul-Gumuz,3.6,121.8,220.6,224,204.2,124,65,NA
2013,Dire Dawa,1.6,55.4,172.6,161.8,153,96.6,10.8,NA
2013,Gambela,5.8,85.4,147,184.6,151,124.8,32.8,NA
2013,Harari,0,108,191.2,195.8,166.4,70.2,50.6,NA
2013,Oromia,0.8,109,246.2,275.6,217.8,157.6,67.8,32.2
2013,SNNPR,0,62.2,180.8,237.4,201.6,151.2,72.2,34.2
2013,Somali,2.8,122.2,308.6,341.2,309.2,190.8,121.6,NA
2013,Tigray,0.6,80.4,176,226.2,218.4,156.6,58.6,6.4
2014,Addis Ababa,0,15.6,74.8,105.2,86,47.8,9.4,0
2014,Afar,2,132.8,262,243.4,186.2,139.2,66.8,18.125
2014,Amhara,0,55,174.6,159.6,157.6,127.4,80.6,24.2
2014,Benishangul-Gumuz,2.4,112.2,218.4,221,196.8,122,61,NA
2014,Dire Dawa,1.4,57.6,176.4,163.2,138,94.4,10.2,NA
2014,Gambela,5.2,89.6,151,188.4,144,115.2,26.2,NA
2014,Harari,0,106,200.8,195.2,172.6,69.8,47.4,NA
2014,Oromia,1.2,110,248.8,270.4,216.2,156.4,64.2,29.8
2014,SNNPR,0,60.8,182.2,231.6,197.4,146.8,70.8,31.8
2014,Somali,2.2,124.8,312.4,351.8,312.8,190.2,109.4,NA
2014,Tigray,0.4,80.6,178,223.8,214.6,158.4,66.4,5.6
2015,Addis Ababa,0,15.8,70.4,109.6,92,52.4,11.2,0
2015,Afar,2,141.4,270,244.2,187.6,137.6,74.4,19.0625
2015,Amhara,0,53,164.8,150.8,158.8,124.2,84.8,25.6
2015,Benishangul-Gumuz,1.2,102.6,216.2,218,189.4,120,57,NA
2015,Dire Dawa,1.2,59.8,180.2,164.6,123,92.2,9.6,NA
2015,Gambela,4.6,93.8,155,192.2,137,105.6,19.6,NA
2015,Harari,0,104,210.4,194.6,178.8,69.4,44.2,NA
2015,Oromia,1.6,111,251.4,265.2,214.6,155.2,60.6,27.4
2015,SNNPR,0,59.4,183.6,225.8,193.2,142.4,69.4,29.4
2015,Somali,1.6,127.4,316.2,362.4,316.4,189.6,97.2,NA
2015,Tigray,0.2,80.8,180,221.4,210.8,160.2,74.2,4.8
2016,Addis Ababa,0,16,66,114,98,57,13,0
2016,Afar,2,150,278,245,189,136,82,20
2016,Amhara,0,51,155,142,160,121,89,27
2016,Benishangul-Gumuz,0,93,214,215,182,118,53,NA
2016,Dire Dawa,1,62,184,166,108,90,9,NA
2016,Gambela,4,98,159,196,130,96,13,NA
2016,Harari,0,102,220,194,185,69,41,NA
2016,Oromia,2,112,254,260,213,154,57,25
2016,SNNPR,0,58,185,220,189,138,68,27
2016,Somali,1,130,320,373,320,189,85,NA
2016,Tigray,0,81,182,219,207,162,82,4
2017,Addis Ababa,1.333333333,15.33333333,77.33333333,119,103,63.33333333,NA,NA
2017,Afar,2,168,285,256,175.6666667,128,NA,NA
2017,Amhara,0.333333333,48,155.6666667,159.6666667,154.6666667,120,74.66666667,NA
2017,Benishangul-Gumuz,0,86.33333333,225.3333333,214.6666667,177.6666667,121,57.33333333,NA
2017,Dire Dawa,1.333333333,64.33333333,170,167.3333333,122.3333333,81.33333333,13.66666667,NA
2017,Gambela,3,106.6666667,159.6666667,189,131.6666667,85.33333333,NA,NA
2017,Harari,1,94,201.3333333,198.6666667,178,70,NA,NA
2017,Oromia,1.333333333,104.3333333,247.6666667,241.6666667,196.3333333,140.3333333,56,NA
2017,SNNPR,0.333333333,63,183.6666667,218,179.6666667,135.3333333,58,NA
2017,Somali,0.666666667,118.3333333,301.3333333,340,294.3333333,190.6666667,NA,NA
2017,Tigray,0,77.66666667,176.6666667,202,199.3333333,150.6666667,78,NA
2018,Addis Ababa,2.666666667,14.66666667,88.66666667,124,108,69.66666667,NA,NA
2018,Afar,2,186,292,267,162.3333333,120,NA,NA
2018,Amhara,0.666666667,45,156.3333333,177.3333333,149.3333333,119,60.33333333,NA
2018,Benishangul-Gumuz,0,79.66666667,236.6666667,214.3333333,173.3333333,124,61.66666667,NA
2018,Dire Dawa,1.666666667,66.66666667,156,168.6666667,136.6666667,72.66666667,18.33333333,NA
2018,Gambela,2,115.3333333,160.3333333,182,133.3333333,74.66666667,NA,NA
2018,Harari,2,86,182.6666667,203.3333333,171,71,NA,NA
2018,Oromia,0.666666667,96.66666667,241.3333333,223.3333333,179.6666667,126.6666667,55,NA
2018,SNNPR,0.666666667,68,182.3333333,216,170.3333333,132.6666667,48,NA
2018,Somali,0.333333333,106.6666667,282.6666667,307,268.6666667,192.3333333,NA,NA
2018,Tigray,0,74.33333333,171.3333333,185,191.6666667,139.3333333,74,NA
2019,Addis Ababa,4,14,100,129,113,76,NA,NA
2019,Afar,2,204,299,278,149,112,NA,NA
2019,Amhara,1,42,157,195,144,118,46,NA
2019,Benishangul-Gumuz,0,73,248,214,169,127,66,NA
2019,Dire Dawa,2,69,142,170,151,64,23,NA
2019,Gambela,1,124,161,175,135,64,NA,NA
2019,Harari,3,78,164,208,164,72,NA,NA
2019,Oromia,0,89,235,205,163,113,54,NA
2019,SNNPR,1,73,181,214,161,130,38,NA
2019,Somali,0,95,264,274,243,194,NA,NA
2019,Tigray,0,71,166,168,184,128,70,NA
