postpartum,From,n,age_grp,None,Pill,IUD,Injectable,Condom,F.sterilization,Withdrawal,Implant,Other.trad,Other.mod,group
6,Implant,43.777697,25-35,0,0,0,0,0,0,0,1,0,0,grp625-35
6,Other.trad,10.09069,18-20,0,0,0,0,0,0,0,0,1,0,grp618-20
6,Other.trad,12.081768,<18,0,0,0,0,0,0,0,0,1,0,grp6<18
6,Other.trad,12.380367,>35,0,0,0,0,0,0,0,0,1,0,grp6>35
6,Other.trad,26.156514,20-25,0,0,0,0.076063232,0,0,0,0,0.923936768,0,grp620-25
6,Other.trad,51.654691,25-35,0.013046947,0,0,0,0,0,0,0,0.986953053,0,grp625-35
6,Other.mod,0,<18,0,0,0,0,0,0,0,0,0,1,grp6<18
6,Other.mod,0,18-20,0,0,0,0,0,0,0,0,0,1,grp618-20
6,Other.mod,0,20-25,0,0,0,0,0,0,0,0,0,1,grp620-25
6,Other.mod,0,25-35,0,0,0,0,0,0,0,0,0,1,grp625-35
6,Other.mod,2.624471,>35,0,0,0,0,0,0,0,0,0,1,grp6>35
0,None,28431.55119,18-20,0.987751946,0.001269041,0.000114548,0.00382332,0.004715502,0,0.000200354,0.000940694,0.00104919,0.000135405,grpNo18-20
0,None,51991.65634,>35,0.993944008,0.001195145,0.00019745,0.002388405,0.000408847,0.000371978,2.25E-05,0.001022072,0.000449566,0,grpNo>35
0,None,57654.56674,20-25,0.984948547,0.001874411,0.000184431,0.008168414,0.002257229,3.78E-05,5.31E-05,0.001435868,0.000960087,8.01E-05,grpNo20-25
0,None,67110.92112,25-35,0.986259292,0.002136791,0.000460294,0.006921111,0.001319016,0.000104218,5.39E-05,0.002064676,0.000657364,2.34E-05,grpNo25-35
0,None,80026.99413,<18,0.994385538,0.000414254,5.48E-06,0.001408535,0.002720003,0,7.93E-05,0.000224874,0.000739391,2.27E-05,grpNo<18
0,Pill,1112.942052,<18,0.032003659,0.9598012,0,0.003990597,0.001259868,0,0.001009611,0,0.001935066,0,grpNo<18
0,Pill,1786.625796,18-20,0.025948059,0.958790431,0,0.012888941,0,0,0,0.002372569,0,0,grpNo18-20
0,Pill,9767.676464,20-25,0.021529225,0.967716724,0.00062877,0.005761422,0.000835775,0,0.000100014,0.002010725,0.001361507,5.58E-05,grpNo20-25
0,Pill,11847.06083,>35,0.007699493,0.981999754,0.001092776,0.005168628,0.000785993,0.000193176,4.48E-05,0.001933812,0.001044351,3.72E-05,grpNo>35
0,Pill,20773.2331,25-35,0.015460659,0.971591701,0.001037691,0.007553664,0.000125817,0.000181723,0.000185419,0.00236783,0.001463784,3.17E-05,grpNo25-35
0,IUD,16.302631,<18,0,0,0.966441858,0.033558142,0,0,0,0,0,0,grpNo<18
0,IUD,200.121638,18-20,0.002189968,0.001606448,0.987202433,0,0,0,0,0,0.009001151,0,grpNo18-20
0,IUD,1576.331882,20-25,0.008172098,0.003511882,0.985411659,0.002028292,0,0,0,0.000532432,0.000343638,0,grpNo20-25
0,IUD,5366.155718,25-35,0.005918445,0.001176731,0.991037273,0.000949174,0,0,0,0.000918378,0,0,grpNo25-35
0,IUD,5370.108334,>35,0.001693331,0.001267692,0.995002669,0.000558382,0.00029325,0.000499755,0,0.000326118,0.000358802,0,grpNo>35
0,Injectable,4574.72929,<18,0.027220201,0.002323855,0,0.96928932,0,0,0,0.000984738,0.000181886,0,grpNo<18
0,Injectable,6889.306016,18-20,0.023810765,0.004098736,0,0.969429811,0.000677297,0,0.000116467,0.001628506,0.000238418,0,grpNo18-20
0,Injectable,22175.05928,>35,0.008494235,0.002536846,0.000554335,0.985230036,0.000873341,0.000218229,8.47E-05,0.001164969,0.00080359,3.98E-05,grpNo>35
0,Injectable,32805.16566,20-25,0.020142008,0.002538737,0.000240625,0.97391131,0.000309854,0,0.00015198,0.001918106,0.000787381,0,grpNo20-25
0,Injectable,57956.44706,25-35,0.014762693,0.003727737,0.00055143,0.978316939,0.000365051,0.000140181,0,0.001733938,0.000365913,3.61E-05,grpNo25-35
0,Condom,2561.498412,18-20,0.029537339,0.003533722,0,0.000142187,0.963821554,0,0,0,0.001890478,0.001074719,grpNo18-20
0,Condom,3002.855808,<18,0.033774278,0.001963429,0,0,0.964130185,0,0,0,0.000132108,0,grpNo<18
0,Condom,3208.050593,>35,0.007368012,0.000374873,0,0.000252256,0.990688679,0,0,0.000269869,0.001046311,0,grpNo>35
0,Condom,5623.124132,20-25,0.020053798,0.001442787,0,0.002862224,0.973873283,0,0.000100531,0.00036982,0.001032421,0.000265135,grpNo20-25
0,Condom,6472.15631,25-35,0.011346987,0.000976181,0,0.001193904,0.984171982,0,0.000122656,0.001828732,0.000249939,0.000109618,grpNo25-35
0,F.sterilization,10.433052,<18,0,0,0,0,0,1,0,0,0,0,grpNo<18
0,F.sterilization,15.888966,18-20,0.034559077,0,0,0,0,0.965440923,0,0,0,0,grpNo18-20
0,F.sterilization,96.762004,20-25,0,0,0,0,0,1,0,0,0,0,grpNo20-25
0,F.sterilization,3940.069464,25-35,0,0,0,0,0,1,0,0,0,0,grpNo25-35
0,F.sterilization,10552.43804,>35,0.000189559,0,0,0,0,0.999810441,0,0,0,0,grpNo>35
0,Withdrawal,197.305022,<18,0.00640077,0,0,0.007552175,0.006759144,0,0.979287912,0,0,0,grpNo<18
0,Withdrawal,235.967168,18-20,0.011829027,0,0,0,0.002874107,0,0.985296866,0,0,0,grpNo18-20
0,Withdrawal,306.555947,20-25,0.016043766,0,0,0.007482804,0.000544462,0,0.967474077,0.004081744,0.004373146,0,grpNo20-25
0,Withdrawal,629.242396,>35,0.004733842,0,0,0,0.002496365,0,0.992352063,0.000417729,0,0,grpNo>35
0,Withdrawal,1130.857337,25-35,0.012717621,0,0,0.001019629,0,0,0.985489088,0.000773662,0,0,grpNo25-35
0,Implant,497.237729,<18,0.008160875,0,0,0.002098477,0,0,0,0.989740648,0,0,grpNo<18
0,Implant,962.357909,18-20,0.017809745,0.002777223,0,0.001193955,0,0,0,0.977287723,0.000931353,0,grpNo18-20
0,Implant,6059.300334,20-25,0.009434846,0.002460559,0.000285449,0.001005171,0.000223993,0,0.000206506,0.986309737,7.37E-05,0,grpNo20-25
0,Implant,6155.519343,>35,0.003020974,0.002980985,0.001763901,0.000654143,0.000179455,0,0,0.991400543,0,0,grpNo>35
0,Implant,15798.59749,25-35,0.007073512,0.001222963,0.000134116,0.000889954,0.000232192,0,3.42E-05,0.989563178,0.000565593,0.000284339,grpNo25-35
0,Other.trad,1328.373276,18-20,0.011798538,0.00055621,0,0.000610239,0.002247222,0,0,0,0.984787792,0,grpNo18-20
0,Other.trad,1340.157167,<18,0.007564673,0,0,0.001405534,0.001856058,0,0,0,0.989173735,0,grpNo<18
0,Other.trad,5045.759363,20-25,0.00836708,0.000395,0.000231593,0.003551251,0.000628343,0,0,0.000309468,0.986517265,0,grpNo20-25
0,Other.trad,7961.709604,>35,0.003379287,0.000295346,8.95E-05,0.000950507,0.000249456,0.00016555,4.05E-05,0.000513347,0.994316536,0,grpNo>35
0,Other.trad,8020.673039,25-35,0.009340147,0.000743999,0.000245165,0.003652666,0.000196142,0.000399014,0,0.001093778,0.984329089,0,grpNo25-35
0,Other.mod,22.271113,<18,0.035644739,0,0,0,0,0,0,0,0,0.964355261,grpNo<18
0,Other.mod,29.166465,18-20,0.01917915,0,0,0.022554567,0.048661331,0,0,0,0,0.909604952,grpNo18-20
0,Other.mod,148.367538,>35,0.011475064,0,0,0.014107945,0,0,0,0,0,0.974416991,grpNo>35
0,Other.mod,155.302841,25-35,0.005128863,0,0,0.028925182,0,0,0,0,0,0.965945955,grpNo25-35
0,Other.mod,209.980043,20-25,0.021582222,0.009285735,0,0,0.004880383,0,0,0,0,0.96425166,grpNo20-25
