Estimate,Std. Error,t value,Pr(>|t|),lhs,rhs
-1.242472488,0.313625634,-3.961642019,9.46E-05,buy_decision_clothes,(Intercept)
0.110427239,0.093237612,1.184363653,0.237277114,buy_decision_clothes,contraception_0
1.452405765,0.108526659,13.38293995,6.88E-32,buy_decision_clothes,buy_decision_clothes_0
2.581785889,0.577832508,4.468052339,1.15E-05,buy_decision_clothes,"ns(age, knots = c(25))1"
1.373723637,0.225420422,6.094051403,3.65E-09,buy_decision_clothes,"ns(age, knots = c(25))2"
0.050939247,0.01606538,3.170746567,0.001689938,buy_decision_clothes,edu_attainment
-0.00052218,0.030050189,-0.017376942,0.986148324,buy_decision_clothes,parity
0.077577399,0.202259701,0.383553414,0.701601581,buy_decision_clothes,urban
0.064579139,0.045001838,1.435033375,0.152397619,buy_decision_clothes,wealthquintile
-3.693411933,0.146740183,-25.16973785,9.24E-74,has_savings,(Intercept)
0.039754375,0.067028351,0.593097907,0.553596088,has_savings,contraception_0
1.608668024,0.070956325,22.67124206,3.06E-65,has_savings,has_savings_0
3.613564566,0.270722768,13.34784139,9.18E-32,has_savings,"ns(age, knots = c(25))1"
0.872103266,0.138979657,6.275042602,1.33E-09,has_savings,"ns(age, knots = c(25))2"
0.056956209,0.008312613,6.851781272,4.66E-11,has_savings,edu_attainment
0.002818828,0.01976369,0.142626584,0.886688046,has_savings,parity
-0.208907549,0.127891202,-1.633478651,0.103496292,has_savings,urban
0.216307761,0.029601811,7.307247487,2.88E-12,has_savings,wealthquintile
-2.572032025,0.231087642,-11.13011497,4.99E-24,has_fin_knowl,(Intercept)
0.02134659,0.092532196,0.230693645,0.817723103,has_fin_knowl,contraception_0
0,0.116397947,13.48030838,3.45E-32,has_fin_knowl,has_fin_knowl_0
2.39387932,0.374528944,6.391707121,6.93E-10,has_fin_knowl,"ns(age, knots = c(25))1"
0.659410993,0.182352587,3.616131832,0.000355213,has_fin_knowl,"ns(age, knots = c(25))2"
0.061420218,0.014414734,4.260933,2.79E-05,has_fin_knowl,edu_attainment
-0.02100422,0.027272086,-0.770172831,0.441853711,has_fin_knowl,parity
0.207242141,0.173363498,1.195419705,0.232945492,has_fin_knowl,urban
0.117781033,0.044744153,2.632322328,0.008956116,has_fin_knowl,wealthquintile
-1.715256705,0.216725687,-7.914413524,6.00E-14,has_fin_goals,(Intercept)
0.089076521,0.120840566,0.737140873,0.461660593,has_fin_goals,contraception_0
1.562230544,0.152657526,10.23356389,4.66E-21,has_fin_goals,has_fin_goals_0
2.821412363,0.404010983,6.983504111,2.14E-11,has_fin_goals,"ns(age, knots = c(25))1"
0.823142769,0.274093073,3.003150571,0.002916094,has_fin_goals,"ns(age, knots = c(25))2"
0.066218246,0.016811753,3.938806865,0.000103695,has_fin_goals,edu_attainment
-0.038840138,0.03572426,-1.087220225,0.277884626,has_fin_goals,parity
0.045418189,0.237494475,0.191238929,0.848478503,has_fin_goals,urban
0.13410682,0.051229267,2.617777429,0.009337109,has_fin_goals,wealthquintile
