year,region,cpr,mcpr
2014,harari,21.1,20.1
2014,oromia,20.2,19.6
2014,sidama,22.9,22.5
2014,somali,2.1,1.8
2014,south,22.9,22.5
2014,southwest,22.9,22.5
2014,tigray,21.6,20.9
2015,addis_ababa,26.3,23.5
2015,afar,9.6,9.6
2015,amhara,31.9,31.5
2015,benishangul_gumuz,21.7,21.5
2015,central,24.8,24.5
2015,dire_dawa,19.9,19
2015,gambela,27.8,27.7
2015,harari,20.7,20.1
2015,oromia,20.8,20.2
2015,sidama,24.8,24.5
2015,somali,1.6,1.4
2015,south,24.8,24.5
2015,southwest,24.8,24.5
2015,tigray,23.4,22.7
2016,addis_ababa,26,23.2
2016,afar,10,10
2016,amhara,34.1,33.7
2016,benishangul_gumuz,22,21.9
2016,central,26.7,26.5
2016,dire_dawa,19.6,18.8
2016,gambela,26.5,26.5
2016,harari,20.3,20.1
2016,oromia,21.3,20.9
2016,sidama,26.7,26.5
2016,somali,1.1,1
2016,south,26.7,26.5
2016,southwest,26.7,26.5
2016,tigray,25.2,24.5
2017,addis_ababa,26,23.7
2017,afar,10.4,10.4
2017,amhara,34.2,33.9
2017,benishangul_gumuz,23.8,23.2
2017,central,28.3,28
2017,dire_dawa,19.3,18.6
2017,gambela,25.5,25.4
2017,harari,20.4,19.8
2017,oromia,23.8,23.1
2017,sidama,28.3,28
2017,somali,1.7,1.6
2017,south,28.3,28
2017,southwest,28.3,28
2017,tigray,25.7,25.1
2018,addis_ababa,26.1,24.2
2018,afar,10.7,10.7
2018,amhara,34.3,34.2
2018,benishangul_gumuz,25.5,24.6
2018,central,29.8,29.6
2018,dire_dawa,18.9,18.5
2018,gambela,24.6,24.3
2018,harari,20.5,19.6
2018,oromia,26.3,25.3
2018,sidama,29.8,29.6
2018,somali,2.2,2.2
2018,south,29.8,29.6
2018,southwest,29.8,29.6
2018,tigray,26.3,25.6
2019,addis_ababa,26.1,24.7
2019,afar,11.1,11.1
2019,amhara,34.4,34.4
2019,benishangul_gumuz,27.3,25.9
2019,central,31.4,31.1
2019,dire_dawa,18.6,18.3
2019,gambela,23.6,23.2
2019,harari,20.6,19.3
2019,oromia,28.8,27.5
2019,sidama,31.4,31.1
2019,somali,2.8,2.8
2019,south,31.4,31.1
2019,southwest,31.4,31.1
2019,tigray,26.8,26.2
